Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, all ages§, Confirmed, Current week","Invasive pneumococcal disease, all ages§, Confirmed, Current week, flag","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†","Invasive pneumococcal disease, all ages§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, all ages§, Probable, Current week","Invasive pneumococcal disease, all ages§, Probable, Current week, flag","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, all ages§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†","Invasive pneumococcal disease, all ages§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, all ages§, Probable,  Cum 2019†","Invasive pneumococcal disease, all ages§, Probable, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
PACIFIC,2020,3,,-,11,,4,,20,,,-,1,,,-,,-,,PACIFIC,20200357,
WEST SOUTH CENTRAL,2020,3,32,,199,,100,,132,,1,,4,,1,,,-,,WEST SOUTH CENTRAL,20200343,
NEBRASKA,2020,3,3,,9,,19,,17,,,-,1,,,-,,-,NEBRASKA,,20200325,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,3,17,,96,,145,,191,,,-,2,,,-,1,,,EAST SOUTH CENTRAL,20200338,
NORTH DAKOTA,2020,3,,-,4,,,-,7,,,-,0,,,-,,-,NORTH DAKOTA,,20200326,POINT (-100.46931 47.446305)
NEVADA,2020,3,1,,19,,17,,41,,,-,0,,,-,,-,NEVADA,,20200353,POINT (-114.916992 39.283294)
TEXAS,2020,3,19,,153,,36,,76,,1,,4,,1,,,-,TEXAS,,20200347,POINT (-99.317341 31.447238)
ALASKA,2020,3,,-,6,,,-,12,,,-,1,,,-,,-,ALASKA,,20200358,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,3,,-,5,,,-,4,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200330,POINT (-77.016275 38.904785)
WASHINGTON,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200362,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,3,3,,40,,18,,106,,,-,2,,,-,1,,,NEW ENGLAND,20200302,
SOUTH CAROLINA,2020,5,,-,33,,51,,70,,,-,2,,1,,2,,SOUTH CAROLINA,,20200535,POINT (-80.864614 33.878572)
OKLAHOMA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200546,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200565,POINT (145.725693 15.1834)
OHIO,2020,5,27,,63,,210,,194,,2,,5,,17,,8,,OHIO,,20200518,POINT (-82.70936 40.415534)
MINNESOTA,2020,5,,-,12,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200523,POINT (-94.198308 46.349153)
OREGON,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200361,POINT (-120.605279 43.940449)
DELAWARE,2020,3,,-,6,,,-,5,,,-,0,,,-,,-,DELAWARE,,20200329,POINT (-75.452394 38.994926)
ALABAMA,2020,3,4,,25,,22,,55,,,-,1,,,-,,-,ALABAMA,,20200339,POINT (-86.844516 32.756889)
NORTH CAROLINA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200334,POINT (-79.130883 35.52603)
GUAM,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200366,POINT (144.653198 13.3532)
NEW MEXICO,2020,3,1,,14,,19,,43,,,-,0,,,-,,-,NEW MEXICO,,20200354,POINT (-106.108388 34.421369)
TENNESSEE,2020,3,8,,38,,55,,71,,,-,2,,,-,1,,TENNESSEE,,20200342,POINT (-86.343226 35.842998)
CONNECTICUT,2020,3,,-,14,,,-,23,,,-,0,,,-,,-,CONNECTICUT,,20200303,POINT (-72.738288 41.575155)
MARYLAND,2020,3,9,,19,,42,,40,,,-,1,,,-,,-,MARYLAND,,20200333,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,3,5,,33,,51,,41,,1,,2,,1,,1,,SOUTH CAROLINA,,20200335,POINT (-80.864614 33.878572)
OKLAHOMA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200346,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200365,POINT (145.725693 15.1834)
MINNESOTA,2020,3,,-,12,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200323,POINT (-94.198308 46.349153)
LOUISIANA,2020,3,,-,22,,41,,37,,,-,1,,,-,,-,LOUISIANA,,20200345,POINT (-91.840238 30.921314)
HAWAII,2020,3,,-,8,,4,,8,,,-,0,,,-,,-,HAWAII,,20200360,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,3,38,,99,,214,,253,,3,,3,,4,,1,,,SOUTH ATLANTIC,20200328,
UTAH,2020,3,2,,12,,18,,22,,,-,1,,,-,1,,UTAH,,20200355,POINT (-111.678222 39.323779)
COLORADO,2020,3,15,,23,,54,,53,,,-,1,,,-,,-,COLORADO,,20200350,POINT (-105.547832 38.998552)
KENTUCKY,2020,3,,-,19,,31,,29,,,-,1,,,-,,-,KENTUCKY,,20200340,POINT (-85.290484 37.526683)
PUERTO RICO,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200367,POINT (-66.414655 18.215692)
MAINE,2020,3,2,,9,,11,,20,,,-,0,,,-,,-,MAINE,,20200304,POINT (-69.06137 45.117911)
VIRGINIA,2020,3,1,,3,,2,,1,,,-,0,,,-,,-,VIRGINIA,,20200336,POINT (-78.666382 37.510861)
ARIZONA,2020,3,27,,35,,95,,97,,,-,1,,1,,,-,ARIZONA,,20200349,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200364,
IDAHO,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200351,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200368,POINT (-64.840836 18.060868)
GEORGIA,2020,3,4,,33,,14,,87,,,-,0,,,-,,-,GEORGIA,,20200332,POINT (-83.426574 32.638481)
ARKANSAS,2020,3,13,,31,,23,,19,,,-,0,,,-,,-,ARKANSAS,,20200344,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,3,5,,14,,37,,36,,,-,0,,,-,,-,MISSISSIPPI,,20200341,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,3,1,,6,,7,,4,,,-,2,,,-,1,,SOUTH DAKOTA,,20200327,POINT (-100.230491 44.43614)
WYOMING,2020,3,1,,4,,3,,1,,,-,0,,,-,,-,WYOMING,,20200356,POINT (-107.55145 42.999627)
MISSOURI,2020,3,,-,31,,47,,64,,,-,4,,1,,5,,MISSOURI,,20200324,POINT (-92.477244 38.3675)
CALIFORNIA,2020,3,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20200359,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,3,,-,17,,5,,22,,,-,0,,,-,,-,WEST VIRGINIA,,20200337,POINT (-80.613729 38.642579)
FLORIDA,2020,3,19,,42,,100,,53,,2,,2,,3,,,-,FLORIDA,,20200331,POINT (-82.420978 28.260731)
MONTANA,2020,3,,-,8,,,-,10,,,-,1,,,-,,-,MONTANA,,20200352,POINT (-109.645127 47.033521)
MASSACHUSETTS,2020,3,,-,21,,,-,44,,,-,2,,,-,,-,MASSACHUSETTS,,20200305,POINT (-71.481104 42.151077)
MOUNTAIN,2020,3,47,,93,,206,,267,,,-,2,,1,,1,,,MOUNTAIN,20200348,
INDIANA,2020,3,2,,25,,22,,55,,,-,1,,,-,,-,INDIANA,,20200316,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200369,
US TERRITORIES,2020,3,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200363,
LOUISIANA,2020,5,,-,22,,41,,57,,,-,1,,,-,,-,LOUISIANA,,20200545,POINT (-91.840238 30.921314)
HAWAII,2020,5,,-,8,,4,,12,,,-,0,,,-,,-,HAWAII,,20200560,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,5,22,,112,,330,,380,,,-,3,,4,,4,,,SOUTH ATLANTIC,20200528,
PENNSYLVANIA,2020,5,,-,9,,5,,33,,,-,1,,,-,1,,PENNSYLVANIA,,20200513,POINT (-77.838886 40.896694)
UTAH,2020,5,,-,12,,21,,31,,,-,1,,,-,1,,UTAH,,20200555,POINT (-111.678222 39.323779)
COLORADO,2020,5,12,,23,,85,,76,,,-,1,,,-,,-,COLORADO,,20200550,POINT (-105.547832 38.998552)
VERMONT,2020,5,1,,5,,8,,5,,,-,0,,,-,1,,VERMONT,,20200508,POINT (-72.662695 44.075252)
KENTUCKY,2020,5,3,,33,,85,,46,,,-,1,,,-,,-,KENTUCKY,,20200540,POINT (-85.290484 37.526683)
PUERTO RICO,2020,5,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200567,POINT (-66.414655 18.215692)
MAINE,2020,5,5,,9,,19,,31,,,-,0,,,-,,-,MAINE,,20200504,POINT (-69.06137 45.117911)
VIRGINIA,2020,5,,-,3,,3,,3,,,-,0,,,-,,-,VIRGINIA,,20200536,POINT (-78.666382 37.510861)
ARIZONA,2020,5,19,,37,,143,,134,,,-,2,,1,,,-,ARIZONA,,20200549,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200564,
TOTAL,2020,4,220,,586,,1537,,1966,,6,,10,,37,,34,,,TOTAL,20200470,
US RESIDENTS,2020,4,220,,586,,1537,,1966,,6,,10,,37,,34,,,US RESIDENTS,20200401,
NEW HAMPSHIRE,2020,4,,-,10,,1,,12,,,-,1,,,-,,-,NEW HAMPSHIRE,,20200406,POINT (-71.57139 43.680429)
NEW YORK,2020,4,17,,88,,59,,62,,,-,3,,7,,,-,NEW YORK,,20200411,POINT (-75.59655 42.921241)
PACIFIC,2020,4,,-,11,,4,,27,,,-,1,,,-,1,,,PACIFIC,20200457,
WEST SOUTH CENTRAL,2020,4,18,,231,,126,,194,,,-,4,,1,,,-,,WEST SOUTH CENTRAL,20200443,
NEBRASKA,2020,4,3,,9,,22,,19,,,-,1,,,-,1,,NEBRASKA,,20200425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,4,19,,74,,218,,221,,,-,2,,,-,1,,,EAST SOUTH CENTRAL,20200438,
NORTH DAKOTA,2020,4,,-,4,,,-,8,,,-,0,,,-,,-,NORTH DAKOTA,,20200426,POINT (-100.46931 47.446305)
NEVADA,2020,4,,-,19,,18,,51,,,-,0,,,-,,-,NEVADA,,20200453,POINT (-114.916992 39.283294)
ILLINOIS,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200415,POINT (-89.148632 40.124144)
TEXAS,2020,4,15,,183,,59,,118,,,-,4,,1,,,-,TEXAS,,20200447,POINT (-99.317341 31.447238)
ALASKA,2020,4,,-,6,,,-,16,,,-,1,,,-,1,,ALASKA,,20200458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,4,,-,5,,,-,6,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200430,POINT (-77.016275 38.904785)
WASHINGTON,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,4,1,,40,,20,,138,,,-,2,,,-,2,,,NEW ENGLAND,20200402,
RHODE ISLAND,2020,4,,-,8,,1,,7,,,-,1,,,-,,-,RHODE ISLAND,,20200407,POINT (-71.534637 41.572574)
OREGON,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200461,POINT (-120.605279 43.940449)
DELAWARE,2020,4,,-,6,,7,,6,,,-,0,,,-,,-,DELAWARE,,20200429,POINT (-75.452394 38.994926)
ALABAMA,2020,4,,-,19,,24,,62,,,-,1,,,-,,-,ALABAMA,,20200439,POINT (-86.844516 32.756889)
KANSAS,2020,4,,-,11,,,-,21,,,-,1,,,-,1,,KANSAS,,20200422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200434,POINT (-79.130883 35.52603)
GUAM,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200466,POINT (144.653198 13.3532)
NEW JERSEY,2020,4,5,,22,,37,,72,,3,,3,,7,,7,,NEW JERSEY,,20200410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,4,5,,14,,34,,55,,,-,0,,,-,,-,NEW MEXICO,,20200454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,4,36,,131,,316,,383,,3,,5,,16,,8,,,EAST NORTH CENTRAL,20200414,
TENNESSEE,2020,4,4,,29,,74,,84,,,-,2,,,-,1,,TENNESSEE,,20200442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,4,,-,14,,,-,28,,,-,0,,,-,,-,CONNECTICUT,,20200403,POINT (-72.738288 41.575155)
MARYLAND,2020,4,19,,20,,61,,54,,,-,1,,,-,,-,MARYLAND,,20200433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,4,,-,33,,51,,51,,,-,2,,1,,2,,SOUTH CAROLINA,,20200435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200465,POINT (145.725693 15.1834)
OHIO,2020,4,32,,63,,182,,171,,3,,5,,16,,7,,OHIO,,20200418,POINT (-82.70936 40.415534)
PUERTO RICO,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200467,POINT (-66.414655 18.215692)
WISCONSIN,2020,5,8,,23,,63,,57,,,-,0,,,-,,-,WISCONSIN,,20200519,POINT (-89.732969 44.639954)
IDAHO,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200551,POINT (-114.659366 44.389073)
MICHIGAN,2020,5,,-,34,,71,,121,,,-,3,,,-,2,,MICHIGAN,,20200517,POINT (-85.730977 44.874798)
GEORGIA,2020,5,,-,33,,35,,119,,,-,0,,,-,,-,GEORGIA,,20200532,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,5,26,,44,,140,,100,,,-,3,,,-,,-,,NEW YORK CITY,20200512,
ARKANSAS,2020,5,14,,33,,40,,41,,,-,0,,,-,,-,ARKANSAS,,20200544,POINT (-92.439162 34.899825)
MINNESOTA,2020,4,,-,12,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200423,POINT (-94.198308 46.349153)
LOUISIANA,2020,4,,-,22,,41,,47,,,-,1,,,-,,-,LOUISIANA,,20200445,POINT (-91.840238 30.921314)
HAWAII,2020,4,,-,8,,4,,11,,,-,0,,,-,,-,HAWAII,,20200460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,4,49,,104,,287,,309,,,-,3,,4,,2,,,SOUTH ATLANTIC,20200428,
PENNSYLVANIA,2020,4,,-,9,,5,,24,,,-,1,,,-,1,,PENNSYLVANIA,,20200413,POINT (-77.838886 40.896694)
UTAH,2020,4,3,,12,,21,,24,,,-,1,,,-,1,,UTAH,,20200455,POINT (-111.678222 39.323779)
COLORADO,2020,4,19,,23,,73,,64,,,-,1,,,-,,-,COLORADO,,20200450,POINT (-105.547832 38.998552)
VERMONT,2020,4,,-,5,,6,,4,,,-,0,,,-,1,,VERMONT,,20200408,POINT (-72.662695 44.075252)
KENTUCKY,2020,4,11,,20,,78,,37,,,-,1,,,-,,-,KENTUCKY,,20200440,POINT (-85.290484 37.526683)
MAINE,2020,4,1,,9,,12,,25,,,-,0,,,-,,-,MAINE,,20200404,POINT (-69.06137 45.117911)
VIRGINIA,2020,4,1,,3,,3,,3,,,-,0,,,-,,-,VIRGINIA,,20200436,POINT (-78.666382 37.510861)
ARIZONA,2020,4,20,,36,,119,,115,,,-,1,,1,,,-,ARIZONA,,20200449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200464,
WISCONSIN,2020,4,3,,23,,55,,38,,,-,0,,,-,,-,WISCONSIN,,20200419,POINT (-89.732969 44.639954)
IDAHO,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200468,POINT (-64.840836 18.060868)
MICHIGAN,2020,4,1,,34,,53,,101,,,-,3,,,-,1,,MICHIGAN,,20200417,POINT (-85.730977 44.874798)
GEORGIA,2020,4,1,,33,,23,,100,,,-,0,,,-,,-,GEORGIA,,20200432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,4,22,,43,,113,,87,,,-,3,,,-,,-,,NEW YORK CITY,20200412,
ARKANSAS,2020,4,3,,33,,26,,29,,,-,0,,,-,,-,ARKANSAS,,20200444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,4,4,,20,,42,,38,,,-,0,,,-,,-,MISSISSIPPI,,20200441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,4,,-,6,,7,,5,,,-,2,,,-,1,,SOUTH DAKOTA,,20200427,POINT (-100.230491 44.43614)
WYOMING,2020,4,2,,4,,5,,1,,,-,0,,,-,,-,WYOMING,,20200456,POINT (-107.55145 42.999627)
MISSOURI,2020,4,,-,31,,47,,74,,,-,4,,1,,8,,MISSOURI,,20200424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,4,44,,117,,214,,245,,3,,4,,14,,8,,,MIDDLE ATLANTIC,20200409,
CALIFORNIA,2020,4,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20200459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,4,,-,17,,14,,28,,,-,0,,,-,,-,WEST VIRGINIA,,20200437,POINT (-80.613729 38.642579)
FLORIDA,2020,4,28,,62,,128,,61,,,-,2,,3,,,-,FLORIDA,,20200431,POINT (-82.420978 28.260731)
MONTANA,2020,4,1,,8,,6,,12,,,-,1,,,-,,-,MONTANA,,20200452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,4,3,,45,,76,,127,,,-,4,,1,,11,,,WEST NORTH CENTRAL,20200420,
MASSACHUSETTS,2020,4,,-,21,,,-,62,,,-,2,,,-,1,,MASSACHUSETTS,,20200405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,4,50,,93,,276,,322,,,-,2,,1,,1,,,MOUNTAIN,20200448,
INDIANA,2020,4,,-,25,,26,,73,,,-,1,,,-,,-,INDIANA,,20200416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200469,
US TERRITORIES,2020,4,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200463,
MISSISSIPPI,2020,5,7,,20,,49,,51,,,-,0,,,-,,-,MISSISSIPPI,,20200541,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,5,1,,6,,13,,6,,,-,2,,,-,1,,SOUTH DAKOTA,,20200527,POINT (-100.230491 44.43614)
WYOMING,2020,5,,-,4,,5,,3,,,-,0,,,-,,-,WYOMING,,20200556,POINT (-107.55145 42.999627)
MISSOURI,2020,5,,-,31,,47,,94,,,-,4,,1,,10,,MISSOURI,,20200524,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,5,55,,118,,274,,303,,2,,7,,16,,10,,,MIDDLE ATLANTIC,20200509,
CALIFORNIA,2020,5,,N,,NC,,N,,N,,N,,NC,,N,,N,CALIFORNIA,,20200559,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,5,1,,17,,21,,36,,,-,0,,,-,,-,WEST VIRGINIA,,20200537,POINT (-80.613729 38.642579)
FLORIDA,2020,5,14,,62,,142,,73,,,-,2,,3,,2,,FLORIDA,,20200531,POINT (-82.420978 28.260731)
MONTANA,2020,5,,-,8,,6,,15,,,-,1,,,-,,-,MONTANA,,20200552,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,5,13,,45,,108,,166,,,-,4,,1,,13,,,WEST NORTH CENTRAL,20200520,
MASSACHUSETTS,2020,5,,-,21,,50,,83,,,-,1,,1,,2,,MASSACHUSETTS,,20200505,POINT (-71.481104 42.151077)
MOUNTAIN,2020,5,32,,92,,318,,373,,,-,2,,1,,1,,,MOUNTAIN,20200548,
NEW YORK,2020,9,11,,92,,145,,162,,,-,3,,7,,1,,NEW YORK,,20200911,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,9,37,,263,,452,,542,,1,,4,,4,,2,,,WEST SOUTH CENTRAL,20200943,
NEBRASKA,2020,9,1,,9,,47,,45,,,-,0,,,-,1,,NEBRASKA,,20200925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,9,10,,76,,422,,491,,,-,2,,1,,3,,,EAST SOUTH CENTRAL,20200938,
NORTH DAKOTA,2020,9,2,,6,,22,,18,,,-,0,,,-,,-,NORTH DAKOTA,,20200926,POINT (-100.46931 47.446305)
NEVADA,2020,9,1,,17,,82,,90,,,-,0,,,-,,-,NEVADA,,20200953,POINT (-114.916992 39.283294)
ILLINOIS,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,ILLINOIS,,20200915,POINT (-89.148632 40.124144)
IOWA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,IOWA,,20200921,POINT (-93.500061 42.074659)
TEXAS,2020,9,18,,215,,267,,350,,1,,4,,3,,2,,TEXAS,,20200947,POINT (-99.317341 31.447238)
ALASKA,2020,9,,-,6,,,-,34,,,-,1,,,-,1,,ALASKA,,20200958,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,9,,-,5,,14,,12,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785)
WASHINGTON,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,WASHINGTON,,20200962,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,9,4,,38,,192,,308,,,-,1,,,-,4,,,NEW ENGLAND,20200902,
RHODE ISLAND,2020,9,,-,8,,9,,16,,,-,1,,,-,,-,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574)
OREGON,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,OREGON,,20200961,POINT (-120.605279 43.940449)
DELAWARE,2020,9,,-,6,,16,,13,,,-,1,,,-,,-,DELAWARE,,20200929,POINT (-75.452394 38.994926)
ALABAMA,2020,9,,-,17,,63,,132,,,-,0,,,-,1,,ALABAMA,,20200939,POINT (-86.844516 32.756889)
KANSAS,2020,9,,-,10,,,-,56,,,-,1,,,-,1,,KANSAS,,20200922,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603)
NEW JERSEY,2020,9,4,,28,,106,,155,,1,,3,,12,,13,,NEW JERSEY,,20200910,POINT (-74.655514 40.110253)
NEW MEXICO,2020,9,2,,15,,72,,96,,,-,0,,,-,,-,NEW MEXICO,,20200954,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,9,35,,149,,690,,735,,5,,6,,25,,20,,,EAST NORTH CENTRAL,20200914,
TENNESSEE,2020,9,7,,28,,176,,183,,,-,2,,1,,1,,TENNESSEE,,20200942,POINT (-86.343226 35.842998)
CONNECTICUT,2020,9,,-,14,,17,,60,,,-,0,,,-,,-,CONNECTICUT,,20200903,POINT (-72.738288 41.575155)
MARYLAND,2020,9,14,,23,,123,,113,,,-,1,,,-,,-,MARYLAND,,20200933,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,9,,-,34,,76,,131,,,-,2,,3,,3,,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572)
OKLAHOMA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,OKLAHOMA,,20200946,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200965,POINT (145.725693 15.1834)
OHIO,2020,9,29,,63,,349,,296,,5,,5,,25,,16,,OHIO,,20200918,POINT (-82.70936 40.415534)
MINNESOTA,2020,9,,-,12,,,-,2,,,-,0,,,-,,-,MINNESOTA,,20200923,POINT (-94.198308 46.349153)
LOUISIANA,2020,9,,-,24,,96,,113,,,-,1,,,-,,-,LOUISIANA,,20200945,POINT (-91.840238 30.921314)
HAWAII,2020,9,,-,8,,6,,28,,,-,0,,,-,,-,HAWAII,,20200960,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,9,54,,141,,677,,717,,,-,3,,10,,6,,,SOUTH ATLANTIC,20200928,
PENNSYLVANIA,2020,9,,-,13,,48,,57,,,-,1,,2,,1,,PENNSYLVANIA,,20200913,POINT (-77.838886 40.896694)
UTAH,2020,9,4,,12,,56,,62,,,-,1,,,-,1,,UTAH,,20200955,POINT (-111.678222 39.323779)
COLORADO,2020,9,18,,24,,163,,145,,,-,1,,,-,,-,COLORADO,,20200950,POINT (-105.547832 38.998552)
VERMONT,2020,9,1,,5,,13,,6,,,-,0,,,-,1,,VERMONT,,20200908,POINT (-72.662695 44.075252)
KENTUCKY,2020,9,,-,33,,116,,91,,,-,0,,,-,1,,KENTUCKY,,20200940,POINT (-85.290484 37.526683)
PUERTO RICO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200967,POINT (-66.414655 18.215692)
MAINE,2020,9,3,,9,,35,,49,,,-,0,,,-,,-,MAINE,,20200904,POINT (-69.06137 45.117911)
VIRGINIA,2020,9,,-,3,,5,,4,,,-,0,,,-,,-,VIRGINIA,,20200936,POINT (-78.666382 37.510861)
ARIZONA,2020,9,23,,34,,253,,223,,,-,1,,1,,1,,ARIZONA,,20200949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200964,
WISCONSIN,2020,9,6,,23,,112,,87,,,-,0,,,-,,-,WISCONSIN,,20200919,POINT (-89.732969 44.639954)
IDAHO,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,IDAHO,,20200951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200968,POINT (-64.840836 18.060868)
MICHIGAN,2020,9,,-,40,,145,,196,,,-,4,,,-,3,,MICHIGAN,,20200917,POINT (-85.730977 44.874798)
GEORGIA,2020,9,15,,40,,161,,226,,,-,0,,,-,,-,GEORGIA,,20200932,POINT (-83.426574 32.638481)
