Reporting Area,MMWR Year,MMWR Week,"Mumps, Current week","Mumps, Current week, flag","Mumps, Previous 52 weeks Max†","Mumps, Previous 52 weeks Max†, flag","Mumps, Cum 2020†","Mumps, Cum 2020†, flag","Mumps, Cum 2019†","Mumps, Cum 2019†, flag","Novel influenza A virus infections§, Current week","Novel influenza A virus infections§, Current week, flag","Novel influenza A virus infections§, Previous 52 weeks Max†","Novel influenza A virus infections§, Previous 52 weeks Max†, flag","Novel influenza A virus infections§, Cum 2020†","Novel influenza A virus infections§, Cum 2020†, flag","Novel influenza A virus infections§, Cum 2019†","Novel influenza A virus infections§, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
IOWA,2020,27,,-,2,,6,,6,,,-,0,,,-,,-,IOWA,,20202721,POINT (-93.500061 42.074659)
TEXAS,2020,27,,-,42,,10,,436,,,-,0,,,-,,-,TEXAS,,20202747,POINT (-99.317341 31.447238)
ALASKA,2020,27,,-,0,,,-,1,,,-,0,,,-,,-,ALASKA,,20202758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,27,,-,1,,,-,3,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20202730,POINT (-77.016275 38.904785)
WASHINGTON,2020,27,,-,4,,,-,29,,,-,0,,,-,,-,WASHINGTON,,20202762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,27,,-,9,,44,,54,,,-,0,,,-,,-,,NEW ENGLAND,20202702,
RHODE ISLAND,2020,27,,-,2,,,-,5,,,-,0,,,-,,-,RHODE ISLAND,,20202707,POINT (-71.534637 41.572574)
OREGON,2020,27,,-,5,,3,,3,,,-,0,,,-,,-,OREGON,,20202761,POINT (-120.605279 43.940449)
DELAWARE,2020,27,,-,3,,7,,1,,,-,0,,,-,,-,DELAWARE,,20202729,POINT (-75.452394 38.994926)
ALABAMA,2020,27,,-,1,,3,,8,,,-,0,,,-,,-,ALABAMA,,20202739,POINT (-86.844516 32.756889)
KANSAS,2020,27,,-,0,,,-,9,,,-,0,,,-,,-,KANSAS,,20202722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,27,,-,18,,18,,7,,,-,0,,,-,,-,NORTH CAROLINA,,20202734,POINT (-79.130883 35.52603)
GUAM,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20202766,POINT (144.653198 13.3532)
NEW JERSEY,2020,27,,-,5,,8,,41,,,-,0,,,-,,-,NEW JERSEY,,20202710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,27,,-,8,,,-,14,,,-,0,,,-,,-,NEW MEXICO,,20202754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,27,,-,7,,44,,210,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20202714,
TENNESSEE,2020,27,,-,21,,2,,14,,,-,0,,,-,,-,TENNESSEE,,20202742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,27,,-,6,,18,,2,,,-,0,,,-,,-,CONNECTICUT,,20202703,POINT (-72.738288 41.575155)
MARYLAND,2020,27,,-,3,,3,,6,,,-,0,,,-,,-,MARYLAND,,20202733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,27,,-,19,,16,,8,,,-,0,,,-,,-,SOUTH CAROLINA,,20202735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,27,,-,2,,2,,,-,,-,0,,,-,,-,OKLAHOMA,,20202746,POINT (-97.508297 35.583449)
DELAWARE,2020,31,,-,3,,7,,1,,,-,0,,,-,,-,DELAWARE,,20203129,POINT (-75.452394 38.994926)
ALABAMA,2020,31,,-,1,,3,,8,,,-,0,,,-,,-,ALABAMA,,20203139,POINT (-86.844516 32.756889)
KANSAS,2020,31,,-,0,,,-,9,,,-,0,,,-,,-,KANSAS,,20203122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,31,,-,18,,18,,9,,,-,0,,,-,,-,NORTH CAROLINA,,20203134,POINT (-79.130883 35.52603)
GUAM,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20203166,POINT (144.653198 13.3532)
NEW JERSEY,2020,31,,-,5,,8,,42,,,-,0,,,-,,-,NEW JERSEY,,20203110,POINT (-74.655514 40.110253)
NORTHERN MARIANA ISLANDS,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20202765,POINT (145.725693 15.1834)
OHIO,2020,27,,-,4,,10,,40,,,-,0,,,-,,-,OHIO,,20202718,POINT (-82.70936 40.415534)
MINNESOTA,2020,27,,-,6,,2,,2,,,-,0,,,-,,-,MINNESOTA,,20202723,POINT (-94.198308 46.349153)
LOUISIANA,2020,27,,-,20,,38,,140,,,-,0,,,-,,-,LOUISIANA,,20202745,POINT (-91.840238 30.921314)
HAWAII,2020,27,,-,1,,2,,1,,,-,0,,,-,,-,HAWAII,,20202760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,27,,-,29,,68,,163,,,-,0,,,-,,-,,SOUTH ATLANTIC,20202728,
PENNSYLVANIA,2020,27,,-,14,,24,,328,,,-,0,,,-,,-,PENNSYLVANIA,,20202713,POINT (-77.838886 40.896694)
UTAH,2020,27,,-,2,,1,,20,,,-,0,,,-,,-,UTAH,,20202755,POINT (-111.678222 39.323779)
COLORADO,2020,27,1,,6,,29,,50,,,-,0,,,-,,-,COLORADO,,20202750,POINT (-105.547832 38.998552)
VERMONT,2020,27,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20202708,POINT (-72.662695 44.075252)
KENTUCKY,2020,27,,-,1,,3,,4,,,-,0,,,-,,-,KENTUCKY,,20202740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20202767,POINT (-66.414655 18.215692)
MAINE,2020,27,,-,0,,,-,5,,,-,0,,,-,,-,MAINE,,20202704,POINT (-69.06137 45.117911)
VIRGINIA,2020,27,,-,5,,5,,29,,,-,0,,,-,,-,VIRGINIA,,20202736,POINT (-78.666382 37.510861)
ARIZONA,2020,27,,-,5,,8,,72,,,-,0,,,-,,-,ARIZONA,,20202749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20202764,
WISCONSIN,2020,27,,-,2,,8,,19,,,-,0,,,-,,-,WISCONSIN,,20202719,POINT (-89.732969 44.639954)
IDAHO,2020,27,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20202751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202768,POINT (-64.840836 18.060868)
MICHIGAN,2020,27,,-,2,,2,,16,,,-,0,,,-,,-,MICHIGAN,,20202717,POINT (-85.730977 44.874798)
GEORGIA,2020,27,,-,3,,2,,37,,,-,0,,,-,,-,GEORGIA,,20202732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,27,,-,11,,61,,72,,,-,0,,,-,,-,,NEW YORK CITY,20202712,
ARKANSAS,2020,27,,-,2,,8,,,-,,-,0,,,-,,-,ARKANSAS,,20202744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,27,,-,1,,1,,39,,,-,0,,,-,,-,MISSISSIPPI,,20202741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,27,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20202727,POINT (-100.230491 44.43614)
WYOMING,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20202756,POINT (-107.55145 42.999627)
MISSOURI,2020,27,,-,15,,67,,12,,,-,0,,,-,,-,MISSOURI,,20202724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,27,,-,24,,120,,466,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20202709,
CALIFORNIA,2020,27,,-,31,,69,,152,,,-,0,,,-,,-,CALIFORNIA,,20202759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,27,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20202737,POINT (-80.613729 38.642579)
FLORIDA,2020,27,,-,21,,17,,70,,,-,0,,,-,,-,FLORIDA,,20202731,POINT (-82.420978 28.260731)
MONTANA,2020,27,,-,3,,1,,12,,,-,0,,,-,,-,MONTANA,,20202752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,27,,-,22,,77,,48,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20202720,
MASSACHUSETTS,2020,27,,-,4,,16,,40,,,-,0,,,-,,-,MASSACHUSETTS,,20202705,POINT (-71.481104 42.151077)
MOUNTAIN,2020,27,1,,12,,39,,169,,,-,0,,,-,,-,,MOUNTAIN,20202748,
INDIANA,2020,27,,-,3,,5,,74,,,-,0,,,-,,-,INDIANA,,20202716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202769,
US TERRITORIES,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20202763,
NEW MEXICO,2020,31,,-,8,,,-,16,,,-,0,,,-,,-,NEW MEXICO,,20203154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,31,,-,7,,47,,225,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20203114,
TENNESSEE,2020,31,,-,21,,4,,14,,,-,0,,,-,,-,TENNESSEE,,20203142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,31,,-,6,,18,,3,,,-,0,,,-,,-,CONNECTICUT,,20203103,POINT (-72.738288 41.575155)
MARYLAND,2020,31,,-,1,,3,,10,,,-,0,,,-,,-,MARYLAND,,20203133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,31,,-,19,,16,,9,,,-,0,,,-,,-,SOUTH CAROLINA,,20203135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,31,,-,2,,2,,3,,,-,0,,,-,,-,OKLAHOMA,,20203146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20203165,POINT (145.725693 15.1834)
OHIO,2020,31,,-,4,,10,,47,,,-,0,,,-,,-,OHIO,,20203118,POINT (-82.70936 40.415534)
MINNESOTA,2020,31,,-,6,,2,,2,,,-,0,,,-,,-,MINNESOTA,,20203123,POINT (-94.198308 46.349153)
LOUISIANA,2020,31,,-,20,,38,,162,,,-,0,,,-,,-,LOUISIANA,,20203145,POINT (-91.840238 30.921314)
HAWAII,2020,31,,-,1,,2,,1,,,-,0,,,-,,-,HAWAII,,20203160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,31,1,,29,,69,,220,,,-,0,,,-,,-,,SOUTH ATLANTIC,20203128,
PENNSYLVANIA,2020,31,,-,14,,24,,345,,,-,0,,,-,,-,PENNSYLVANIA,,20203113,POINT (-77.838886 40.896694)
UTAH,2020,31,,-,2,,2,,20,,,-,0,,,-,,-,UTAH,,20203155,POINT (-111.678222 39.323779)
COLORADO,2020,31,,-,6,,29,,58,,,-,0,,,-,,-,COLORADO,,20203150,POINT (-105.547832 38.998552)
VERMONT,2020,31,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20203108,POINT (-72.662695 44.075252)
KENTUCKY,2020,31,,-,1,,3,,4,,,-,0,,,-,,-,KENTUCKY,,20203140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20203167,POINT (-66.414655 18.215692)
MAINE,2020,31,,-,0,,,-,5,,,-,0,,,-,,-,MAINE,,20203104,POINT (-69.06137 45.117911)
VIRGINIA,2020,31,1,,5,,6,,36,,,-,0,,,-,,-,VIRGINIA,,20203136,POINT (-78.666382 37.510861)
ARIZONA,2020,31,,-,5,,8,,75,,,-,0,,,-,,-,ARIZONA,,20203149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20203164,
WISCONSIN,2020,31,,-,2,,8,,20,,,-,0,,,-,,-,WISCONSIN,,20203119,POINT (-89.732969 44.639954)
IDAHO,2020,31,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20203151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20203168,POINT (-64.840836 18.060868)
MICHIGAN,2020,31,,-,2,,2,,17,,,-,0,,,-,,-,MICHIGAN,,20203117,POINT (-85.730977 44.874798)
GEORGIA,2020,31,,-,1,,2,,45,,,-,0,,,-,,-,GEORGIA,,20203132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,31,,-,11,,62,,87,,,-,0,,,-,,-,,NEW YORK CITY,20203112,
ARKANSAS,2020,31,,-,2,,8,,,-,,-,0,,,-,,-,ARKANSAS,,20203144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,31,,-,1,,1,,40,,,-,0,,,-,,-,MISSISSIPPI,,20203141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,31,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20203127,POINT (-100.230491 44.43614)
WYOMING,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20203156,POINT (-107.55145 42.999627)
MISSOURI,2020,31,,-,15,,67,,15,,,-,0,,,-,,-,MISSOURI,,20203124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,31,,-,24,,120,,509,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20203109,
CALIFORNIA,2020,31,,-,30,,69,,154,,,-,0,,,-,,-,CALIFORNIA,,20203159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,31,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20203137,POINT (-80.613729 38.642579)
FLORIDA,2020,31,,-,21,,17,,105,,,-,0,,,-,,-,FLORIDA,,20203131,POINT (-82.420978 28.260731)
MONTANA,2020,31,,-,3,,1,,13,,,-,0,,,-,,-,MONTANA,,20203152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,31,,-,22,,78,,61,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20203120,
MASSACHUSETTS,2020,31,,-,4,,16,,45,,,-,0,,,-,,-,MASSACHUSETTS,,20203105,POINT (-71.481104 42.151077)
MOUNTAIN,2020,31,,-,12,,40,,183,,,-,0,,,-,,-,,MOUNTAIN,20203148,
INDIANA,2020,31,,-,3,,7,,76,,,-,0,,,-,,-,INDIANA,,20203116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20203169,
US TERRITORIES,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20203163,
VERMONT,2020,42,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20204208,POINT (-72.662695 44.075252)
KENTUCKY,2020,42,,-,1,,3,,6,,,-,0,,,-,,-,KENTUCKY,,20204240,POINT (-85.290484 37.526683)
PUERTO RICO,2020,42,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20204267,POINT (-66.414655 18.215692)
MAINE,2020,42,,-,1,,1,,5,,,-,0,,,-,,-,MAINE,,20204204,POINT (-69.06137 45.117911)
VIRGINIA,2020,42,1,,2,,7,,58,,,-,0,,,-,,-,VIRGINIA,,20204236,POINT (-78.666382 37.510861)
ARIZONA,2020,42,,-,2,,9,,96,,,-,0,,,-,,-,ARIZONA,,20204249,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,42,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20204264,
WISCONSIN,2020,42,,-,2,,8,,23,,,-,0,,,-,,-,WISCONSIN,,20204219,POINT (-89.732969 44.639954)
IDAHO,2020,42,,-,0,,,-,1,,,-,0,,,-,,-,IDAHO,,20204251,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,42,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20204268,POINT (-64.840836 18.060868)
MICHIGAN,2020,42,,-,1,,3,,22,,,-,0,,,-,,-,MICHIGAN,,20204217,POINT (-85.730977 44.874798)
GEORGIA,2020,42,,-,1,,2,,46,,,-,0,,,-,,-,GEORGIA,,20204232,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,42,,-,11,,63,,123,,,-,0,,,-,,-,,NEW YORK CITY,20204212,
ARKANSAS,2020,42,,-,13,,8,,24,,,-,0,,,-,,-,ARKANSAS,,20204244,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,42,,-,1,,2,,43,,,-,0,,,-,,-,MISSISSIPPI,,20204241,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,42,,-,2,,,-,10,,,-,0,,,-,,-,SOUTH DAKOTA,,20204227,POINT (-100.230491 44.43614)
WYOMING,2020,42,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20204256,POINT (-107.55145 42.999627)
MISSOURI,2020,42,,-,15,,67,,33,,,-,0,,,-,,-,MISSOURI,,20204224,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,42,,-,24,,131,,622,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20204209,
TOTAL,2020,28,,-,100,,538,,2027,,,-,0,,,-,,-,,TOTAL,20202870,
US RESIDENTS,2020,28,,-,100,,538,,2027,,,-,0,,,-,,-,,US RESIDENTS,20202801,
NEW HAMPSHIRE,2020,28,,-,3,,8,,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,20202806,POINT (-71.57139 43.680429)
NEW YORK,2020,28,,-,4,,27,,26,,,-,0,,,-,,-,NEW YORK,,20202811,POINT (-75.59655 42.921241)
PACIFIC,2020,28,,-,35,,74,,188,,,-,0,,,-,,-,,PACIFIC,20202857,
WEST SOUTH CENTRAL,2020,28,,-,54,,62,,630,,,-,0,,,-,,-,,WEST SOUTH CENTRAL,20202843,
NEBRASKA,2020,28,,-,19,,,-,4,,,-,0,,,-,,-,NEBRASKA,,20202825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,28,,-,21,,9,,65,,,-,0,,,-,,-,,EAST SOUTH CENTRAL,20202838,
NORTH DAKOTA,2020,28,,-,1,,2,,15,,,-,0,,,-,,-,NORTH DAKOTA,,20202826,POINT (-100.46931 47.446305)
NEVADA,2020,28,,-,0,,,-,1,,,-,0,,,-,,-,NEVADA,,20202853,POINT (-114.916992 39.283294)
ILLINOIS,2020,28,,-,3,,19,,61,,,-,0,,,-,,-,ILLINOIS,,20202815,POINT (-89.148632 40.124144)
IOWA,2020,28,,-,2,,6,,6,,,-,0,,,-,,-,IOWA,,20202821,POINT (-93.500061 42.074659)
TEXAS,2020,28,,-,42,,14,,471,,,-,0,,,-,,-,TEXAS,,20202847,POINT (-99.317341 31.447238)
ALASKA,2020,28,,-,0,,,-,1,,,-,0,,,-,,-,ALASKA,,20202858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,28,,-,1,,,-,3,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20202830,POINT (-77.016275 38.904785)
WASHINGTON,2020,28,,-,4,,,-,29,,,-,0,,,-,,-,WASHINGTON,,20202862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,28,,-,9,,44,,55,,,-,0,,,-,,-,,NEW ENGLAND,20202802,
RHODE ISLAND,2020,28,,-,2,,,-,5,,,-,0,,,-,,-,RHODE ISLAND,,20202807,POINT (-71.534637 41.572574)
OREGON,2020,28,,-,5,,3,,3,,,-,0,,,-,,-,OREGON,,20202861,POINT (-120.605279 43.940449)
DELAWARE,2020,28,,-,3,,7,,1,,,-,0,,,-,,-,DELAWARE,,20202829,POINT (-75.452394 38.994926)
ALABAMA,2020,28,,-,1,,3,,8,,,-,0,,,-,,-,ALABAMA,,20202839,POINT (-86.844516 32.756889)
KANSAS,2020,28,,-,0,,,-,9,,,-,0,,,-,,-,KANSAS,,20202822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,28,,-,18,,18,,7,,,-,0,,,-,,-,NORTH CAROLINA,,20202834,POINT (-79.130883 35.52603)
GUAM,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20202866,POINT (144.653198 13.3532)
NEW JERSEY,2020,28,,-,5,,8,,41,,,-,0,,,-,,-,NEW JERSEY,,20202810,POINT (-74.655514 40.110253)
NEW MEXICO,2020,28,,-,8,,,-,14,,,-,0,,,-,,-,NEW MEXICO,,20202854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,28,,-,7,,44,,211,,,-,0,,,-,,-,,EAST NORTH CENTRAL,20202814,
TENNESSEE,2020,28,,-,21,,2,,14,,,-,0,,,-,,-,TENNESSEE,,20202842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,28,,-,6,,18,,3,,,-,0,,,-,,-,CONNECTICUT,,20202803,POINT (-72.738288 41.575155)
MARYLAND,2020,28,,-,3,,3,,6,,,-,0,,,-,,-,MARYLAND,,20202833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,28,,-,19,,16,,8,,,-,0,,,-,,-,SOUTH CAROLINA,,20202835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,28,,-,2,,2,,1,,,-,0,,,-,,-,OKLAHOMA,,20202846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20202865,POINT (145.725693 15.1834)
OHIO,2020,28,,-,4,,10,,41,,,-,0,,,-,,-,OHIO,,20202818,POINT (-82.70936 40.415534)
MINNESOTA,2020,28,,-,6,,2,,2,,,-,0,,,-,,-,MINNESOTA,,20202823,POINT (-94.198308 46.349153)
LOUISIANA,2020,28,,-,20,,38,,158,,,-,0,,,-,,-,LOUISIANA,,20202845,POINT (-91.840238 30.921314)
HAWAII,2020,28,,-,1,,2,,1,,,-,0,,,-,,-,HAWAII,,20202860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,28,,-,29,,68,,178,,,-,0,,,-,,-,,SOUTH ATLANTIC,20202828,
PENNSYLVANIA,2020,28,,-,14,,24,,333,,,-,0,,,-,,-,PENNSYLVANIA,,20202813,POINT (-77.838886 40.896694)
UTAH,2020,28,,-,2,,2,,20,,,-,0,,,-,,-,UTAH,,20202855,POINT (-111.678222 39.323779)
CALIFORNIA,2020,42,,-,29,,72,,247,,,-,0,,,-,,-,CALIFORNIA,,20204259,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,42,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20204237,POINT (-80.613729 38.642579)
FLORIDA,2020,42,,-,6,,21,,130,,,-,0,,,-,,-,FLORIDA,,20204231,POINT (-82.420978 28.260731)
COLORADO,2020,28,,-,6,,29,,55,,,-,0,,,-,,-,COLORADO,,20202850,POINT (-105.547832 38.998552)
VERMONT,2020,28,,-,1,,2,,2,,,-,0,,,-,,-,VERMONT,,20202808,POINT (-72.662695 44.075252)
KENTUCKY,2020,28,,-,1,,3,,4,,,-,0,,,-,,-,KENTUCKY,,20202840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20202867,POINT (-66.414655 18.215692)
MAINE,2020,28,,-,0,,,-,5,,,-,0,,,-,,-,MAINE,,20202804,POINT (-69.06137 45.117911)
VIRGINIA,2020,28,,-,5,,5,,33,,,-,0,,,-,,-,VIRGINIA,,20202836,POINT (-78.666382 37.510861)
ARIZONA,2020,28,,-,5,,8,,73,,,-,0,,,-,,-,ARIZONA,,20202849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20202864,
WISCONSIN,2020,28,,-,2,,8,,19,,,-,0,,,-,,-,WISCONSIN,,20202819,POINT (-89.732969 44.639954)
IDAHO,2020,28,,-,1,,,-,,-,,-,0,,,-,,-,IDAHO,,20202851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202868,POINT (-64.840836 18.060868)
MICHIGAN,2020,28,,-,2,,2,,16,,,-,0,,,-,,-,MICHIGAN,,20202817,POINT (-85.730977 44.874798)
GEORGIA,2020,28,,-,3,,2,,40,,,-,0,,,-,,-,GEORGIA,,20202832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,28,,-,11,,61,,77,,,-,0,,,-,,-,,NEW YORK CITY,20202812,
ARKANSAS,2020,28,,-,2,,8,,,-,,-,0,,,-,,-,ARKANSAS,,20202844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,28,,-,1,,1,,39,,,-,0,,,-,,-,MISSISSIPPI,,20202841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,28,,-,2,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20202827,POINT (-100.230491 44.43614)
WYOMING,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,20202856,POINT (-107.55145 42.999627)
MISSOURI,2020,28,,-,15,,67,,12,,,-,0,,,-,,-,MISSOURI,,20202824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,28,,-,24,,120,,477,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20202809,
CALIFORNIA,2020,28,,-,30,,69,,154,,,-,0,,,-,,-,CALIFORNIA,,20202859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,28,,-,0,,,-,2,,,-,0,,,-,,-,WEST VIRGINIA,,20202837,POINT (-80.613729 38.642579)
FLORIDA,2020,28,,-,21,,17,,78,,,-,0,,,-,,-,FLORIDA,,20202831,POINT (-82.420978 28.260731)
MONTANA,2020,28,,-,3,,1,,12,,,-,0,,,-,,-,MONTANA,,20202852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,28,,-,22,,77,,48,,,-,0,,,-,,-,,WEST NORTH CENTRAL,20202820,
MASSACHUSETTS,2020,28,,-,4,,16,,40,,,-,0,,,-,,-,MASSACHUSETTS,,20202805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,28,,-,12,,40,,175,,,-,0,,,-,,-,,MOUNTAIN,20202848,
INDIANA,2020,28,,-,3,,5,,74,,,-,0,,,-,,-,INDIANA,,20202816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20202869,
US TERRITORIES,2020,28,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20202863,
TOTAL,2020,35,1,,95,,544,,2437,,,-,1,,1,,,-,,TOTAL,20203570,
U.S. VIRGIN ISLANDS,2020,35,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20203568,POINT (-64.840836 18.060868)
NON-US RESIDENTS,2020,35,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20203569,
ALASKA,2020,36,,-,0,,,-,1,,,-,0,,,-,,-,ALASKA,,20203658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,36,,-,1,,,-,3,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20203630,POINT (-77.016275 38.904785)
WASHINGTON,2020,36,,-,4,,,-,33,,,-,0,,,-,,-,WASHINGTON,,20203662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,36,,-,9,,46,,66,,,-,0,,,-,,-,,NEW ENGLAND,20203602,
RHODE ISLAND,2020,36,,-,1,,,-,8,,,-,0,,,-,,-,RHODE ISLAND,,20203607,POINT (-71.534637 41.572574)
